Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Traffic,Parking_Percentage,Mobile_Density,Crowd_Level,Estimated_Waiting_Time,Online_Booking_Available,Booked_Visitors,Entry_Token_Available,Tokens_Issued,Public_Transport_Load,School_or_Office_Holiday,Place_Capacity_Indicator,Next_2_Hour_Crowd_Forecast,Next_2_Hour_Waiting_Time
Gachibowli Indoor Stadium,Stadium,2025-01-13,Monday,15,No,No,No,Sunny,Low,40,Medium,Low,15 minutes,Yes,200,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-13,Monday,19,No,No,No,Sunny,Medium,42,Medium,Low,15 minutes,Yes,206,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-14,Tuesday,8,No,Yes,Yes,Cloudy,High,91,High,Very High,4 hours,Yes,2073,No,,Not Available,Yes,Above 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-01-14,Tuesday,11,No,Yes,No,Sunny,High,65,Medium,High,2 hours,Yes,995,No,,Not Available,Yes,60% to 85%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-14,Tuesday,15,No,Yes,No,Rainy,Medium,31,Low,Low,15 minutes,Yes,173,No,,Not Available,Yes,Below 30%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-14,Tuesday,19,No,Yes,No,Cloudy,Medium,47,High,Medium,45 minutes,Yes,441,No,,Not Available,Yes,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-15,Wednesday,8,No,Yes,No,Sunny,Medium,75,Medium,High,2 hours,Yes,1025,No,,Not Available,Yes,60% to 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-01-15,Wednesday,11,No,Yes,No,Sunny,High,61,Medium,High,2 hours,Yes,983,No,,Not Available,Yes,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-15,Wednesday,15,No,Yes,No,Sunny,Medium,11,Medium,Medium,45 minutes,Yes,333,No,,Not Available,Yes,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-15,Wednesday,19,No,Yes,No,Sunny,Medium,79,Medium,Medium,45 minutes,Yes,537,No,,Not Available,Yes,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-16,Thursday,8,No,No,No,Sunny,Medium,22,Low,Medium,45 minutes,Yes,366,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-16,Thursday,11,No,No,No,Sunny,Low,43,Medium,Medium,45 minutes,Yes,429,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-16,Thursday,15,No,No,No,Cloudy,Low,26,Medium,Low,15 minutes,Yes,158,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-16,Thursday,19,No,No,No,Cloudy,Low,17,Low,Low,15 minutes,Yes,131,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-17,Friday,8,No,No,No,Sunny,Low,16,Medium,Medium,45 minutes,Yes,348,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-17,Friday,11,No,No,No,Sunny,Medium,12,Low,Medium,45 minutes,Yes,336,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-17,Friday,15,No,No,No,Rainy,Low,29,Medium,Low,15 minutes,Yes,167,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-17,Friday,19,No,No,No,Cloudy,Medium,14,Medium,Low,15 minutes,Yes,122,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-18,Saturday,8,Yes,No,No,Sunny,Medium,47,High,High,2 hours,Yes,941,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-18,Saturday,11,Yes,No,No,Rainy,High,51,High,Medium,45 minutes,Yes,453,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-18,Saturday,15,Yes,No,No,Cloudy,Low,11,Medium,Medium,45 minutes,Yes,333,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-18,Saturday,19,Yes,No,No,Cloudy,High,45,Medium,Medium,45 minutes,Yes,435,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-19,Sunday,8,Yes,No,No,Sunny,High,53,High,High,2 hours,Yes,959,No,,Not Available,No,60% to 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-01-19,Sunday,11,Yes,No,No,Sunny,High,70,Medium,High,2 hours,Yes,1010,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-19,Sunday,15,Yes,No,No,Cloudy,Low,30,Low,Medium,45 minutes,Yes,390,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-19,Sunday,19,Yes,No,No,Sunny,High,75,High,Medium,45 minutes,Yes,525,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-20,Monday,8,No,No,No,Sunny,Low,40,Low,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-20,Monday,11,No,No,No,Sunny,Medium,42,Medium,Medium,45 minutes,Yes,426,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-20,Monday,15,No,No,No,Sunny,Low,21,Low,Low,15 minutes,Yes,143,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-20,Monday,19,No,No,No,Sunny,Low,18,Low,Low,15 minutes,Yes,134,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-21,Tuesday,8,No,No,No,Sunny,Medium,30,Medium,Medium,45 minutes,Yes,390,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-21,Tuesday,11,No,No,No,Sunny,Medium,35,Low,Medium,45 minutes,Yes,405,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-21,Tuesday,15,No,No,No,Sunny,Medium,20,Low,Low,15 minutes,Yes,140,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-21,Tuesday,19,No,No,No,Sunny,Low,28,Medium,Low,15 minutes,Yes,164,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-22,Wednesday,8,No,No,No,Sunny,Low,39,Medium,Medium,45 minutes,Yes,417,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-22,Wednesday,11,No,No,No,Sunny,Low,31,Low,Medium,45 minutes,Yes,393,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-22,Wednesday,15,No,No,No,Cloudy,Low,31,Low,Low,15 minutes,Yes,173,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-22,Wednesday,19,No,No,No,Rainy,Medium,17,Low,Low,15 minutes,Yes,131,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-23,Thursday,8,No,No,No,Sunny,Medium,17,Medium,Medium,45 minutes,Yes,351,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-23,Thursday,11,No,No,No,Rainy,Low,32,Medium,Low,15 minutes,Yes,176,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-23,Thursday,15,No,No,No,Cloudy,Low,33,Low,Low,15 minutes,Yes,179,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-23,Thursday,19,No,No,No,Sunny,Medium,42,Medium,Low,15 minutes,Yes,206,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-24,Friday,8,No,No,No,Rainy,Medium,19,Medium,Low,15 minutes,Yes,137,No,,Not Available,No,Below 30%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-24,Friday,11,No,No,No,Sunny,Low,27,Low,Medium,45 minutes,Yes,381,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-24,Friday,15,No,No,No,Sunny,Low,43,Low,Low,15 minutes,Yes,209,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-24,Friday,19,No,No,No,Sunny,Low,11,Low,Low,15 minutes,Yes,113,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-25,Saturday,8,Yes,No,No,Sunny,Medium,66,Medium,High,2 hours,Yes,998,No,,Not Available,No,60% to 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-01-25,Saturday,11,Yes,No,No,Sunny,Medium,48,High,High,2 hours,Yes,944,No,,Not Available,No,60% to 85%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-25,Saturday,15,Yes,No,No,Rainy,Medium,10,Low,Low,15 minutes,Yes,110,No,,Not Available,No,Below 30%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-25,Saturday,19,Yes,No,No,Sunny,Medium,78,High,Medium,45 minutes,Yes,534,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-26,Sunday,8,Yes,No,No,Sunny,High,55,Medium,High,2 hours,Yes,965,No,,Not Available,No,60% to 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-01-26,Sunday,11,Yes,No,No,Cloudy,High,51,High,High,2 hours,Yes,953,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-26,Sunday,15,Yes,No,No,Sunny,Medium,39,Medium,Medium,45 minutes,Yes,417,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-26,Sunday,19,Yes,No,No,Sunny,High,74,High,Medium,45 minutes,Yes,522,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-27,Monday,8,No,No,No,Sunny,Low,40,Medium,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-27,Monday,11,No,No,No,Sunny,Low,37,Medium,Medium,45 minutes,Yes,411,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-27,Monday,15,No,No,No,Sunny,Low,33,Medium,Low,15 minutes,Yes,179,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-27,Monday,19,No,No,No,Sunny,Low,19,Low,Low,15 minutes,Yes,137,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-28,Tuesday,8,No,No,No,Cloudy,Low,17,Low,Medium,45 minutes,Yes,351,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-28,Tuesday,11,No,No,No,Cloudy,Medium,40,Low,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-28,Tuesday,15,No,No,No,Sunny,Low,13,Medium,Low,15 minutes,Yes,119,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-28,Tuesday,19,No,No,No,Cloudy,Medium,30,Low,Low,15 minutes,Yes,170,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-29,Wednesday,8,No,No,No,Cloudy,Low,43,Low,Medium,45 minutes,Yes,429,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-29,Wednesday,11,No,No,No,Sunny,Medium,15,Medium,Medium,45 minutes,Yes,345,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-29,Wednesday,15,No,No,Yes,Cloudy,Medium,72,Medium,Medium,45 minutes,Yes,516,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-29,Wednesday,19,No,No,No,Cloudy,Medium,16,Medium,Low,15 minutes,Yes,128,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-30,Thursday,8,No,No,No,Rainy,Low,33,Medium,Low,15 minutes,Yes,179,No,,Not Available,No,Below 30%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-30,Thursday,11,No,No,No,Cloudy,Low,10,Low,Medium,45 minutes,Yes,330,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-30,Thursday,15,No,No,No,Rainy,Medium,24,Medium,Low,15 minutes,Yes,152,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-30,Thursday,19,No,No,No,Sunny,Low,28,Medium,Low,15 minutes,Yes,164,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-01-31,Friday,8,No,No,No,Sunny,Low,42,Low,Medium,45 minutes,Yes,426,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-31,Friday,11,No,No,No,Cloudy,Medium,40,Low,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-01-31,Friday,15,No,No,No,Cloudy,Medium,37,Low,Low,15 minutes,Yes,191,No,,Not Available,No,Below 30%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-01-31,Friday,19,No,No,Yes,Cloudy,High,46,High,High,2 hours,Yes,938,No,,Not Available,No,60% to 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-01,Saturday,8,Yes,No,No,Cloudy,Medium,67,Medium,High,2 hours,Yes,1001,No,,Not Available,No,60% to 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-02-01,Saturday,11,Yes,No,No,Sunny,High,56,Medium,High,2 hours,Yes,968,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-01,Saturday,15,Yes,No,No,Sunny,Low,38,Medium,Medium,45 minutes,Yes,414,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-01,Saturday,19,Yes,No,No,Sunny,High,50,Medium,Medium,45 minutes,Yes,450,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-02,Sunday,8,Yes,No,No,Sunny,Medium,53,High,High,2 hours,Yes,959,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-02,Sunday,11,Yes,No,No,Rainy,Medium,50,Medium,Medium,45 minutes,Yes,450,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-02,Sunday,15,Yes,No,No,Sunny,Low,42,Low,Medium,45 minutes,Yes,426,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-02,Sunday,19,Yes,No,No,Cloudy,High,65,Medium,Medium,45 minutes,Yes,495,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-03,Monday,8,No,No,No,Cloudy,Low,11,Medium,Medium,45 minutes,Yes,333,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-03,Monday,11,No,No,No,Sunny,Low,27,Medium,Medium,45 minutes,Yes,381,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-03,Monday,15,No,No,No,Rainy,Low,16,Medium,Low,15 minutes,Yes,128,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-03,Monday,19,No,No,No,Sunny,Low,20,Low,Low,15 minutes,Yes,140,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-04,Tuesday,8,No,No,No,Sunny,Medium,22,Medium,Medium,45 minutes,Yes,366,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-04,Tuesday,11,No,No,No,Sunny,Medium,18,Low,Medium,45 minutes,Yes,354,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-04,Tuesday,15,No,No,No,Rainy,Low,35,Medium,Low,15 minutes,Yes,185,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-04,Tuesday,19,No,No,No,Sunny,Low,22,Medium,Low,15 minutes,Yes,146,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-05,Wednesday,8,No,No,No,Cloudy,Low,42,Medium,Medium,45 minutes,Yes,426,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-05,Wednesday,11,No,No,No,Cloudy,Low,40,Medium,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-05,Wednesday,15,No,No,No,Sunny,Medium,37,Low,Low,15 minutes,Yes,191,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-05,Wednesday,19,No,No,No,Sunny,Medium,21,Medium,Low,15 minutes,Yes,143,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-06,Thursday,8,No,No,No,Cloudy,Low,10,Medium,Medium,45 minutes,Yes,330,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-06,Thursday,11,No,No,No,Sunny,Medium,40,Low,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-06,Thursday,15,No,No,No,Cloudy,Low,27,Medium,Low,15 minutes,Yes,161,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-06,Thursday,19,No,No,No,Sunny,Low,19,Low,Low,15 minutes,Yes,137,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-07,Friday,8,No,No,No,Sunny,Medium,39,Low,Medium,45 minutes,Yes,417,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-07,Friday,11,No,No,No,Sunny,Medium,17,Medium,Medium,45 minutes,Yes,351,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-07,Friday,15,No,No,No,Cloudy,Low,12,Medium,Low,15 minutes,Yes,116,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-07,Friday,19,No,No,No,Sunny,Low,30,Medium,Low,15 minutes,Yes,170,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-08,Saturday,8,Yes,No,No,Rainy,Medium,70,Medium,Medium,45 minutes,Yes,510,No,,Not Available,No,30% to 60%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-02-08,Saturday,11,Yes,No,No,Sunny,Medium,48,High,High,2 hours,Yes,944,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-08,Saturday,15,Yes,No,No,Sunny,Low,31,Low,Medium,45 minutes,Yes,393,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-08,Saturday,19,Yes,No,No,Rainy,Low,40,Low,Medium,45 minutes,Yes,420,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-09,Sunday,8,Yes,No,No,Sunny,High,56,Medium,High,2 hours,Yes,968,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-09,Sunday,11,Yes,No,No,Rainy,Medium,62,High,Medium,45 minutes,Yes,486,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-09,Sunday,15,Yes,No,No,Rainy,Medium,39,Medium,Low,15 minutes,Yes,197,No,,Not Available,No,Below 30%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-09,Sunday,19,Yes,No,No,Sunny,Medium,60,Medium,Medium,45 minutes,Yes,480,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-10,Monday,8,No,No,No,Sunny,Low,32,Medium,Medium,45 minutes,Yes,396,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-10,Monday,11,No,No,No,Sunny,Medium,22,Medium,Medium,45 minutes,Yes,366,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-10,Monday,15,No,No,No,Sunny,Low,18,Low,Low,15 minutes,Yes,134,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-10,Monday,19,No,No,No,Sunny,Low,37,Low,Low,15 minutes,Yes,191,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-11,Tuesday,8,No,No,No,Rainy,Medium,34,Medium,Low,15 minutes,Yes,182,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-11,Tuesday,11,No,No,No,Rainy,Low,18,Low,Low,15 minutes,Yes,134,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-11,Tuesday,15,No,No,No,Sunny,Low,21,Low,Low,15 minutes,Yes,143,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-11,Tuesday,19,No,No,No,Sunny,Low,20,Low,Low,15 minutes,Yes,140,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-12,Wednesday,8,No,No,No,Cloudy,Medium,27,Low,Medium,45 minutes,Yes,381,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-12,Wednesday,11,No,No,No,Cloudy,Low,28,Medium,Medium,45 minutes,Yes,384,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-12,Wednesday,15,No,No,No,Cloudy,Medium,19,Low,Low,15 minutes,Yes,137,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-12,Wednesday,19,No,No,No,Sunny,Medium,37,Low,Low,15 minutes,Yes,191,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-13,Thursday,8,No,No,No,Cloudy,Low,44,Low,Medium,45 minutes,Yes,432,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-13,Thursday,11,No,No,No,Sunny,Medium,15,Medium,Medium,45 minutes,Yes,345,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-13,Thursday,15,No,No,No,Rainy,Medium,18,Medium,Low,15 minutes,Yes,134,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-13,Thursday,19,No,No,No,Cloudy,Medium,12,Low,Low,15 minutes,Yes,116,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-14,Friday,8,No,No,No,Sunny,Low,38,Low,Medium,45 minutes,Yes,414,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-14,Friday,11,No,No,No,Sunny,Medium,11,Low,Medium,45 minutes,Yes,333,No,,Not Available,No,30% to 60%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-14,Friday,15,No,No,No,Sunny,Medium,11,Low,Low,15 minutes,Yes,113,No,,Not Available,No,Below 30%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-14,Friday,19,No,No,No,Cloudy,Low,24,Medium,Low,15 minutes,Yes,152,No,,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-15,Saturday,8,Yes,No,No,Cloudy,High,69,High,High,2 hours,Yes,1007,No,,Not Available,No,60% to 85%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-02-15,Saturday,11,Yes,No,No,Sunny,Medium,51,High,High,2 hours,Yes,953,No,,Not Available,No,60% to 85%,Low,15 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-15,Saturday,15,Yes,No,No,Rainy,Low,13,Medium,Low,15 minutes,Yes,119,No,,Not Available,No,Below 30%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-15,Saturday,19,Yes,No,No,Rainy,Low,39,Medium,Medium,45 minutes,Yes,417,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Gachibowli Indoor Stadium,Stadium,2025-02-16,Sunday,8,Yes,No,No,Rainy,High,67,High,Medium,45 minutes,Yes,501,No,,Not Available,No,30% to 60%,High,2 hours
Gachibowli Indoor Stadium,Stadium,2025-02-16,Sunday,11,Yes,No,No,Sunny,Medium,73,Medium,High,2 hours,Yes,1019,No,,Not Available,No,60% to 85%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-16,Sunday,15,Yes,No,No,Cloudy,Low,26,Medium,Medium,45 minutes,Yes,378,No,,Not Available,No,30% to 60%,Medium,45 minutes
Gachibowli Indoor Stadium,Stadium,2025-02-16,Sunday,19,Yes,No,No,Sunny,Medium,49,Medium,Medium,45 minutes,Yes,447,No,,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
